plume_id_src,obs_datetime_utc,provider,emission_tph,emission_unc_tph,cluster_id,latitude,longitude
053bb8f4b1398f8762807bfccb94ebf2,2022-09-11 00:00:00+00:00,KAYRROS,,,2,-21.4863,148.38
c8c5126cf9e63175950de82410b529ef,2022-09-11 00:00:00+00:00,KAYRROS,38.26,17.22,2,-21.9666,148.1197
dc1193bd4043a61ad5e837e5f5dfe519,2022-09-23 00:00:00+00:00,KAYRROS,,,2,-21.9354,148.0545
728a0d75d5680f2d174771269c216c42,2022-09-24 00:00:00+00:00,KAYRROS,,,2,-21.943,147.9597
afb65f396cae6e28709aff827f9af15f,2022-11-23 00:00:00+00:00,KAYRROS,45.77,20.6,-1,-28.4832,139.8779
3067f8cf03a324f42c2da522940abc14,2023-02-05 00:00:00+00:00,KAYRROS,80.74,36.33,0,-32.5561,150.9082
78322dd6cd3b6be245d317908ba44ed0,2023-05-05 00:00:00+00:00,KAYRROS,,,0,-32.6081,151.0991
246b2da9c344a01879767f23ec07e6f4,2023-06-11 00:00:00+00:00,KAYRROS,47.43,21.34,0,-32.6139,151.1087
b94054a9492d54b931300fae59b6d18d,2023-06-22 00:00:00+00:00,KAYRROS,,,-1,-21.8446,140.9
dfddf3a2465d7fc79ce4af29a95bae5d,2023-07-22 00:00:00+00:00,KAYRROS,,,0,-32.6683,150.9233
43dc8f4db0c98f8ca3a759f4e6faa857,2023-08-09 00:00:00+00:00,KAYRROS,36.72,16.52,0,-32.815,151.0126
df6615de1b7709fbd0c947421d2c621f,2023-08-16 00:00:00+00:00,KAYRROS,47.2,21.24,1,-23.1315,148.0713
823b147757341fc8a4a33f99aa317393,2023-09-11 00:00:00+00:00,KAYRROS,,,0,-32.38,150.672
a7a9d6d79962e401eb2572cc2dcd7ffc,2023-09-14 00:00:00+00:00,KAYRROS,70.54,31.74,0,-32.7526,151.1252
04a528324dacdb38b946ea97eadd265f,2023-09-17 00:00:00+00:00,KAYRROS,48.87,21.99,0,-32.6024,150.8162
c98b3d920cfa39e9d8bbcd09b47a641d,2023-10-13 00:00:00+00:00,KAYRROS,,,2,-21.771,148.4033
2e2b4a75e2257d5358197d6199f49f1e,2023-10-22 00:00:00+00:00,KAYRROS,52.94,23.82,2,-21.9354,148.1918
27ffef0ed5b948d7192ce3b14d9bb9f8,2023-10-24 00:00:00+00:00,KAYRROS,,,-1,-32.7988,151.5166
5515431cda4cfab494f80d5b7ca0d092,2023-11-01 00:00:00+00:00,KAYRROS,5.09,2.29,2,-21.8615,148.3209
40d74cfced673e899ef8e497f9683537,2024-02-22 00:00:00+00:00,KAYRROS,,,0,-32.6301,151.084
38a571091ae5472b5617742682f1e38d,2024-04-07 00:00:00+00:00,KAYRROS,,,-1,-15.7354,130.2402
e1c952c1bfb7cdcef1a880500e1b4180,2024-06-03 04:42:20+00:00,SRON,11.0,6.0,-1,-25.51,149.04
461dfd71c9188ea874d8a98943f575c8,2024-06-04 04:23:49+00:00,SRON,5.0,2.0,-1,-24.67,150.0
ad1a8c8b33401fe3b71cdf3eb420a01c,2024-06-04 04:24:42+00:00,SRON,19.0,11.0,2,-21.89,148.33
93647346a5bbfff57fdd850b40221a9f,2024-06-08 04:48:50+00:00,SRON,12.0,4.0,-1,-24.43,150.09
a30ecb2fc0d5b96fcc71eb026a1a9d6e,2024-06-08 04:49:34+00:00,SRON,17.0,8.0,2,-21.77,148.47
0f1702e552215835605ec8701ee72b5c,2024-06-09 00:00:00+00:00,KAYRROS,3.64,1.64,1,-23.0658,148.6588
b48700cad6b01ab141a50b90a41ca2e6,2024-06-09 04:30:46+00:00,SRON,19.0,8.0,-1,-22.46,148.49
